SERVICE REQUEST #,DATE RECEIVED,LOT LOCATION,DANGEROUS OR HAZARDOUS?,Dangerous flag,OPEN OR BOARDED?,Open flag,ENTRY POINT,VACANT OR OCCUPIED?,Vacant flag,VACANT DUE TO FIRE?,Fire flag,ANY PEOPLE USING PROPERTY?,In use flag,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,Full Address,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
12-01821425,10/28/2012,Front,,2,Open,1,,Vacant,1,,0,,0,898,E,42ND,ST,60653,898 E 42ND ST chicago IL 60653,1182848.77569049,1877352.30991075,4,2,36,41.81866085968401,-87.60475488761736,"41.81866085968401,-87.60475488761736"
12-01821529,10/28/2012,Front,,2,Open,1,,Vacant,1,,0,1,1,7400,S,MICHIGAN,AVE,60619,7400 S MICHIGAN AVE chicago IL 60619,1178440.9555291,1855979.70087077,6,3,69,41.76011377068212,-87.62157324383536,"41.76011377068212,-87.62157324383536"
12-01821707,10/28/2012,Front,,2,Open,1,,Vacant,1,,0,,0,1845,N,ST LOUIS,AVE,60647,1845 N ST LOUIS AVE chicago IL 60647,1152966.85276932,1912104.83207197,26,14,22,41.914668637121146,-87.71345226900488,"41.914668637121146,-87.71345226900488"
12-01821897,10/28/2012,Front,,2,Open,1,OPEN.. AT THE SIDE,Vacant,1,,0,,0,9142,S,LUELLA,AVE,60617,9142 S LUELLA AVE chicago IL 60617,1192765.8966149,1844789.36292461,7,4,48,41.72906927831563,-87.56943705485989,"41.72906927831563,-87.56943705485989"
12-01822079,10/28/2012,Front,,2,Open,1,FRONT,Vacant,1,1,1,,0,11536,S,CHURCH,ST,60643,11536 S CHURCH ST chicago IL 60643,1165554.38260392,1828045.43890178,19,22,75,41.683740655587414,-87.66959204983525,"41.683740655587414,-87.66959204983525"
12-01822082,10/28/2012,Front,,2,Open,1,FRONT ENTRANCE,Vacant,1,,0,1,1,10734,S,EDBROOKE,AVE,60628,10734 S EDBROOKE AVE chicago IL 60628,1179147.19965,1833766.701,9,5,49,41.69914247056068,-87.61965986827514,"41.69914247056068,-87.61965986827514"
12-01822216,10/28/2012,Front,,2,Open,1,FRONT IS OPEN TO THE VACANT BUILDING,Vacant,1,,0,1,1,3135,N,NEWCASTLE,AVE,60634,3135 N NEWCASTLE AVE chicago IL 60634,1130207.66880655,1920078.35089825,36,25,18,41.93696990220643,-87.79688449941852,"41.93696990220643,-87.79688449941852"
12-01822430,10/28/2012,Front,,2,Open,1,,Vacant,1,,0,1,1,3336,N,NORMANDY,AVE,60634,3336 N NORMANDY AVE chicago IL 60634,1131159.97329662,1921441.38872876,36,16,17,41.94069382996385,-87.79335302111677,"41.94069382996385,-87.79335302111677"
12-01822445,10/28/2012,Front,,2,Open,1,FRONT,Vacant,1,,0,1,1,2951,W,GEORGE,ST,60618,2951 W GEORGE ST chicago IL 60618,1156108.37732931,1919133.03177503,35,14,21,41.93389167628999,-87.70172050312085,"41.93389167628999,-87.70172050312085"
12-01820102,10/27/2012,Rear,,2,Open,1,,Vacant,1,,0,1,1,1454,E,63RD,ST,60637,1454 E 63RD ST chicago IL 60637,1187040.076394,1863510.59742477,5,3,42,41.780579642882046,-87.58981914069778,"41.780579642882046,-87.58981914069778"
