Address,Street Number,Street Direction,Street Name,Street Type,Zip Code,Lat,Lot,HT Score,Nearest Transit,Distance to Nearest Transity,Density 2010,Density 2012
5116 S CARPENTER ST chicago IL 60609,5116,S,CARPENTER,ST,60609,41.80120374,-87.65140854,43.11,Garfield-Red,1.5,6.28,6.55
3818 S STATE ST chicago IL 60609,3818,S,STATE,ST,60609,41.82520764,-87.62642734,28.01,Indiana,0.48,12.56,12.26
5150 S ASHLAND AVE chicago IL 60609,5150,S,ASHLAND,AVE,60609,41.80131822,-87.66477648,38.33,Western-Orange,1.36,9.19,10.06
5205 S ASHLAND AVE chicago IL 60609,5205,S,ASHLAND,AVE,60609,41.79940278,-87.66472862,36.46,Western-Orange,1.42,8.16,9.03
5242 S ASHLAND AVE chicago IL 60609,5242,S,ASHLAND,AVE,60609,41.79872181,-87.66470966,36.65,Western-Orange,1.44,7.86,8.83
5120 S PAULINA ST chicago IL 60609,5120,S,PAULINA,ST,60609,41.80092744,-87.66720262,37.76,Western-Orange,1.21,9.28,10.29
5125 S PAULINA ST chicago IL 60609,5125,S,PAULINA,ST,60609,41.80083549,-87.66720027,37.78,Western-Orange,1.21,9.22,10.25
5156 S PAULINA ST chicago IL 60609,5156,S,PAULINA,ST,60609,41.80026509,-87.66718442,37.91,Western-Orange,1.23,8.94,9.99
5203 S PAULINA ST chicago IL 60609,5203,S,PAULINA,ST,60609,41.79941861,-87.66716128,37.99,Western-Orange,1.26,8.62,9.62
5207 S PAULINA ST chicago IL 60609,5207,S,PAULINA,ST,60609,41.79934478,-87.66715948,37.99,Western-Orange,1.26,8.6,9.59
5208 S PAULINA ST chicago IL 60609,5208,S,PAULINA,ST,60609,41.79932639,-87.66715893,37.99,Western-Orange,1.26,8.59,9.58
5209 S PAULINA ST chicago IL 60609,5209,S,PAULINA,ST,60609,41.799308,-87.66715839,37.99,Western-Orange,1.26,8.59,9.58
5216 S PAULINA ST chicago IL 60609,5216,S,PAULINA,ST,60609,41.799179,-87.66715459,37.99,Western-Orange,1.27,8.54,9.52
5224 S PAULINA ST chicago IL 60609,5224,S,PAULINA,ST,60609,41.79903133,-87.66715062,37.99,Western-Orange,1.27,8.47,9.47
5228 S PAULINA ST chicago IL 60609,5228,S,PAULINA,ST,60609,41.79895778,-87.66714881,37.98,Western-Orange,1.28,8.44,9.44
5305 S PAULINA ST chicago IL 60609,5305,S,PAULINA,ST,60609,41.79755683,-87.66711017,37.89,Western-Orange,1.34,7.83,9.05
5308 S PAULINA ST chicago IL 60609,5308,S,PAULINA,ST,60609,41.79750166,-87.66710854,37.88,Western-Orange,1.34,7.82,9.04
5316 S PAULINA ST chicago IL 60609,5316,S,PAULINA,ST,60609,41.79735427,-87.66710457,37.87,Western-Orange,1.35,7.79,9.02
5317 S PAULINA ST chicago IL 60609,5317,S,PAULINA,ST,60609,41.79733588,-87.66710402,37.87,Western-Orange,1.35,7.79,9.02
5321 S PAULINA ST chicago IL 60609,5321,S,PAULINA,ST,60609,41.79726233,-87.66710222,37.86,Western-Orange,1.35,7.78,9.01
5334 S PAULINA ST chicago IL 60609,5334,S,PAULINA,ST,60609,41.79702271,-87.6670959,37.78,Western-Orange,1.36,7.73,8.98
5419 S PAULINA ST chicago IL 60609,5419,S,PAULINA,ST,60609,41.7954744,-87.66705492,37,Western-Orange,1.44,7.53,8.89
5425 S PAULINA ST chicago IL 60609,5425,S,PAULINA,ST,60609,41.79536352,-87.66705203,36.99,Western-Orange,1.45,7.51,8.87
5417 S PAULINA ST chicago IL 60609,5417,S,PAULINA,ST,60609,41.79551146,-87.66705564,37.02,Western-Orange,1.44,7.54,8.89
5124 S PAULINA ST chicago IL 60609,5124,S,PAULINA,ST,60609,41.80085388,-87.66720081,37.78,Western-Orange,1.21,9.24,10.26
5130 S PAULINA ST chicago IL 60609,5130,S,PAULINA,ST,60609,41.80074354,-87.66719756,37.8,Western-Orange,1.22,9.17,10.21
5143 S MARSHFIELD AVE chicago IL 60609,5143,S,MARSHFIELD,AVE,60609,41.8005138,-87.66597781,37.33,Western-Orange,1.3,8.94,9.91
5144 S MARSHFIELD AVE chicago IL 60609,5144,S,MARSHFIELD,AVE,60609,41.80049541,-87.66597726,37.33,Western-Orange,1.3,8.93,9.9
5126 S MARSHFIELD AVE chicago IL 60609,5126,S,MARSHFIELD,AVE,60609,41.80082753,-87.66598739,37.41,Western-Orange,1.29,9.12,10.06
5220 S MARSHFIELD AVE chicago IL 60609,5220,S,MARSHFIELD,AVE,60609,41.79911315,-87.66593589,37.26,Western-Orange,1.35,8.28,9.21
5231 S MARSHFIELD AVE chicago IL 60609,5231,S,MARSHFIELD,AVE,60609,41.79891087,-87.66593029,37.25,Western-Orange,1.36,8.18,9.14
5236 S MARSHFIELD AVE chicago IL 60609,5236,S,MARSHFIELD,AVE,60609,41.79881892,-87.66592757,37.24,Western-Orange,1.36,8.14,9.11
4500 S ST LAWRENCE AVE chicago IL 60653,4500,S,ST LAWRENCE,AVE,60653,41.8130964,-87.61154421,52.14,43rd,0.6,14.02,10.74
4600 S EVANS AVE chicago IL 60653,4600,S,EVANS,AVE,60653,41.81133523,-87.60785191,34.21,47th-Green,0.78,15.68,12.05
212 E 41ST ST chicago IL 60653,212,E,41ST,ST,60653,41.82017232,-87.62131058,33.19,Indiana,0.14,13.74,12.2
4843 S UNION AVE chicago IL 60609,4843,S,UNION,AVE,60609,41.80602497,-87.64303452,44.36,47th-Red,0.93,7.08,6.39
1648 W GARFIELD BLVD chicago IL 60609,1648,W,GARFIELD,BLVD,60609,41.79400837,-87.6660896,38.93,Ashland/63rd,1.41,7.29,8.63
755 E OAKWOOD BLVD chicago IL 60653,755,E,OAKWOOD,BLVD,60653,41.82272038,-87.60816519,48.13,Indiana,0.92,13.83,13.34
5202 S WOOD ST chicago IL 60609,5202,S,WOOD,ST,60609,41.79942114,-87.66959583,37.53,Western-Orange,1.11,8.79,9.88
5140 S LOOMIS BLVD chicago IL 60609,5140,S,LOOMIS,BLVD,60609,41.8006474,-87.65989936,38.94,Western-Orange,1.71,8.1,8.77
4524 S ASHLAND AVE chicago IL 60609,4524,S,ASHLAND,AVE,60609,41.8117858,-87.66505314,31.23,Western-Orange,1.47,15.4,15.67
1235 E 46TH ST chicago IL 60653,1235,E,46TH,ST,60653,41.81099458,-87.59605526,49.68,47th St. (Kenwood) Metra,0.34,13.5,12.35
4541 S CHAMPLAIN AVE chicago IL 60653,4541,S,CHAMPLAIN,AVE,60653,41.81237058,-87.60989321,34.55,47th-Green,0.68,14.94,11.27
4408 S PRAIRIE AVE chicago IL 60653,4408,S,PRAIRIE,AVE,60653,41.81463002,-87.6197392,44.72,43rd,0.18,12.63,12.02
2214 W 54TH PL chicago IL 60609,2214,W,54TH,PL,60609,41.79478038,-87.68032272,39.24,Western-Orange,0.94,7.72,8.11
822 W 51ST PL chicago IL 60609,822,W,51ST,PL,60609,41.80066312,-87.64586125,37.37,Garfield-Red,1.13,6.16,6.23
5430 S UNION AVE chicago IL 60609,5430,S,UNION,AVE,60609,41.79528856,-87.64275353,40.47,Garfield-Red,0.8,5.57,6.28
